               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082609,            0.038417,            0.042501,             0.45223,             0.35763,              0.2105,            0.087312,            0.051386,            0.018096,            0.027756,             0.07037,           0.0032922,           0.0032922
                   1,            0.056947,            0.031959,            0.024336,             0.54621,             0.52199,             0.40447,              0.1761,            0.046275,            0.012938,            0.012872,            0.040239,           0.0064943,           0.0064943
                   2,            0.056458,            0.026401,            0.015062,             0.56084,             0.53714,             0.44117,             0.22581,            0.051454,            0.012607,           0.0053555,            0.009976,           0.0095645,           0.0095645
                   3,            0.051016,            0.025336,            0.011427,             0.61855,             0.56909,             0.50864,             0.28299,            0.043237,            0.011945,           0.0045549,            0.009406,            0.009406,            0.009406
                   4,            0.044972,            0.024497,           0.0088895,             0.62528,             0.55645,             0.58884,             0.34331,            0.036663,            0.013043,            0.011513,            0.009406,            0.009406,            0.009406
                   5,            0.041956,            0.023663,           0.0092591,             0.71979,             0.70503,             0.75458,              0.4324,            0.031797,             0.01217,           0.0088912,            0.009208,            0.009208,            0.009208
                   6,            0.041008,            0.024478,           0.0073823,             0.58135,             0.74315,             0.68601,             0.40568,            0.032994,            0.011837,            0.003514,             0.00901,             0.00901,             0.00901
                   7,            0.040089,            0.023224,            0.007594,             0.64845,             0.70433,              0.6915,             0.42495,            0.032915,            0.012251,           0.0034908,            0.008812,            0.008812,            0.008812
                   8,            0.039929,            0.023234,           0.0074927,              0.7392,             0.80909,              0.7753,             0.50079,            0.029912,            0.011421,           0.0026852,            0.008614,            0.008614,            0.008614
                   9,            0.037625,            0.023635,           0.0073341,             0.73532,             0.86767,             0.82123,             0.51363,            0.027963,            0.011215,           0.0032338,            0.008416,            0.008416,            0.008416
                  10,             0.03675,            0.022042,           0.0059481,             0.78275,              0.8527,             0.84471,             0.53312,            0.026764,             0.01069,           0.0020488,            0.008218,            0.008218,            0.008218
                  11,            0.035776,            0.022907,           0.0066738,             0.74764,             0.85444,             0.83979,             0.49022,              0.0279,            0.010646,           0.0023746,             0.00802,             0.00802,             0.00802
                  12,            0.034872,            0.021668,           0.0065685,             0.81846,              0.8069,             0.86664,             0.56581,            0.026108,              0.0107,           0.0032669,            0.007822,            0.007822,            0.007822
                  13,            0.033994,            0.022402,           0.0051085,             0.77765,             0.83278,             0.83501,              0.5153,            0.026575,            0.011186,           0.0050236,            0.007624,            0.007624,            0.007624
                  14,            0.033536,            0.021644,           0.0058567,             0.85751,             0.81434,             0.86348,             0.55577,            0.026096,            0.010936,           0.0027064,            0.007426,            0.007426,            0.007426
                  15,            0.032704,            0.022094,           0.0054345,             0.79401,             0.80135,             0.85163,             0.56714,            0.025773,            0.010586,           0.0025676,            0.007228,            0.007228,            0.007228
                  16,            0.032555,            0.021842,           0.0046109,             0.80333,             0.81675,             0.84776,             0.56283,            0.025244,            0.010202,           0.0023174,             0.00703,             0.00703,             0.00703
                  17,            0.032944,            0.021753,           0.0043294,             0.83584,             0.82058,             0.87017,             0.55329,            0.027614,            0.010857,           0.0017503,            0.006832,            0.006832,            0.006832
                  18,            0.031462,            0.020792,           0.0042968,             0.77019,             0.87251,             0.87415,             0.56587,             0.02375,            0.010311,           0.0015386,            0.006634,            0.006634,            0.006634
                  19,            0.030024,            0.020644,           0.0037023,              0.8787,             0.87909,             0.90946,             0.62887,            0.022776,            0.009725,           0.0015371,            0.006436,            0.006436,            0.006436
                  20,            0.029868,            0.020677,           0.0051397,             0.85383,             0.84731,             0.86893,             0.58257,            0.023238,            0.010327,           0.0021435,            0.006238,            0.006238,            0.006238
                  21,            0.030584,            0.020123,           0.0043323,             0.84068,             0.87141,             0.89315,             0.60593,            0.022173,           0.0096444,           0.0012364,             0.00604,             0.00604,             0.00604
                  22,            0.029766,             0.02004,           0.0036449,             0.87926,             0.83808,             0.91028,              0.6153,            0.022307,           0.0099486,           0.0015242,            0.005842,            0.005842,            0.005842
                  23,             0.02875,            0.020205,            0.003449,             0.87463,             0.86282,             0.90793,             0.62857,            0.021879,           0.0098762,           0.0013045,            0.005644,            0.005644,            0.005644
                  24,            0.028811,            0.020169,           0.0046379,              0.8248,             0.89453,             0.90911,             0.62923,            0.022537,           0.0099191,           0.0012689,            0.005446,            0.005446,            0.005446
                  25,             0.02788,             0.01967,            0.003526,               0.859,             0.85259,             0.88563,             0.60877,            0.023582,           0.0098541,           0.0016291,            0.005248,            0.005248,            0.005248
                  26,            0.027787,            0.019152,           0.0028183,             0.87564,              0.8633,             0.90997,             0.63052,            0.022616,            0.009649,           0.0011695,             0.00505,             0.00505,             0.00505
                  27,            0.026816,            0.019124,           0.0031644,             0.85703,             0.87853,             0.89768,             0.62701,            0.021947,           0.0095499,           0.0010862,            0.004852,            0.004852,            0.004852
                  28,            0.026371,            0.018503,           0.0031547,             0.89816,             0.87015,             0.91722,             0.64135,            0.021674,           0.0094519,            0.001116,            0.004654,            0.004654,            0.004654
                  29,            0.026079,            0.018444,           0.0026499,             0.84457,              0.8519,             0.89756,             0.61985,            0.021254,           0.0097282,           0.0010643,            0.004456,            0.004456,            0.004456
                  30,            0.025954,            0.018621,           0.0027355,             0.88626,             0.85691,              0.9049,             0.63425,            0.021691,           0.0098534,           0.0015802,            0.004258,            0.004258,            0.004258
                  31,            0.025494,            0.018425,            0.002961,             0.92155,             0.88055,             0.92547,             0.66674,             0.02066,           0.0091706,           0.0010251,             0.00406,             0.00406,             0.00406
                  32,            0.025785,            0.017958,           0.0031381,              0.9157,             0.85376,             0.92881,             0.66801,            0.020686,           0.0091629,           0.0008994,            0.003862,            0.003862,            0.003862
                  33,            0.024924,            0.017649,           0.0027933,             0.90818,             0.85447,             0.93201,             0.66741,            0.020193,           0.0091287,          0.00097394,            0.003664,            0.003664,            0.003664
