               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085658,            0.038166,            0.044042,             0.48037,             0.20299,            0.075191,            0.026971,            0.055516,             0.01883,            0.032636,             0.07037,           0.0032922,           0.0032922
                   1,            0.059097,            0.033153,            0.027031,             0.46872,             0.39861,             0.30035,              0.1293,            0.048127,            0.013426,            0.017097,            0.040239,           0.0064943,           0.0064943
                   2,            0.057676,            0.028184,            0.018285,             0.50898,             0.45624,             0.34745,             0.14615,            0.048675,            0.013383,           0.0085643,            0.009976,           0.0095645,           0.0095645
                   3,            0.053787,            0.027464,            0.013426,             0.69743,             0.49775,             0.46708,             0.25973,            0.041568,            0.013709,            0.012165,            0.009406,            0.009406,            0.009406
                   4,            0.047167,             0.02639,            0.010749,             0.64989,             0.60211,             0.53083,             0.27419,            0.037927,            0.012887,            0.005372,            0.009406,            0.009406,            0.009406
                   5,            0.045226,             0.02544,            0.010157,             0.74747,             0.59888,              0.5993,             0.31614,            0.035275,            0.012662,            0.011123,            0.009208,            0.009208,            0.009208
                   6,            0.043832,            0.026445,           0.0083163,             0.75479,             0.58887,             0.65822,             0.35331,            0.032994,            0.012684,           0.0046427,             0.00901,             0.00901,             0.00901
                   7,            0.041307,            0.025351,           0.0090326,             0.65982,             0.77455,              0.7638,             0.43837,            0.030861,            0.011956,           0.0041323,            0.008812,            0.008812,            0.008812
                   8,            0.040931,            0.024845,           0.0080218,             0.73516,             0.65528,             0.68718,             0.41903,            0.032079,            0.013207,           0.0031476,            0.008614,            0.008614,            0.008614
                   9,             0.04027,            0.025137,           0.0082064,             0.67075,             0.78407,             0.73948,             0.42026,            0.031313,            0.012409,           0.0034708,            0.008416,            0.008416,            0.008416
                  10,             0.03895,            0.023973,           0.0070956,             0.78304,             0.71317,             0.77029,             0.47167,            0.029854,            0.012459,           0.0057763,            0.008218,            0.008218,            0.008218
                  11,            0.038688,            0.024446,           0.0077814,             0.74482,             0.71923,             0.77479,             0.46482,            0.029734,            0.011947,           0.0034447,             0.00802,             0.00802,             0.00802
                  12,            0.038237,            0.023156,            0.007012,             0.72288,             0.73353,              0.7823,             0.47076,            0.028585,             0.01152,           0.0022245,            0.007822,            0.007822,            0.007822
                  13,             0.03659,            0.023898,           0.0057739,             0.72427,             0.80643,             0.81056,             0.46553,            0.028934,            0.011679,            0.002014,            0.007624,            0.007624,            0.007624
                  14,            0.035504,            0.022971,            0.006417,             0.84206,             0.76779,              0.8381,              0.5204,            0.029755,            0.011408,           0.0029986,            0.007426,            0.007426,            0.007426
                  15,            0.034459,            0.023151,           0.0065089,             0.80056,             0.81572,             0.82564,               0.512,            0.026522,             0.01154,           0.0018715,            0.007228,            0.007228,            0.007228
                  16,            0.034605,            0.023383,            0.004988,             0.74995,             0.79546,               0.815,             0.51394,            0.027468,            0.011336,           0.0026886,             0.00703,             0.00703,             0.00703
                  17,            0.034763,            0.023197,           0.0045993,             0.78321,             0.82585,             0.83273,             0.51041,            0.028778,            0.011537,           0.0014578,            0.006832,            0.006832,            0.006832
                  18,            0.033249,            0.022266,            0.004728,             0.82087,             0.84756,              0.8745,             0.55137,            0.025948,             0.01071,           0.0021402,            0.006634,            0.006634,            0.006634
                  19,            0.032237,            0.022564,           0.0045936,             0.83372,             0.85842,             0.87019,              0.5641,            0.024465,            0.010764,            0.001295,            0.006436,            0.006436,            0.006436
                  20,            0.032331,            0.022647,           0.0058464,             0.86267,               0.821,             0.84983,             0.54328,            0.026701,            0.010603,           0.0015765,            0.006238,            0.006238,            0.006238
                  21,            0.032485,            0.021793,           0.0049227,             0.80078,              0.8192,             0.86342,             0.56571,            0.024325,            0.010963,           0.0016826,             0.00604,             0.00604,             0.00604
                  22,            0.031855,              0.0218,           0.0045071,             0.81474,             0.81182,             0.86458,             0.55766,            0.024887,            0.011317,           0.0014474,            0.005842,            0.005842,            0.005842
                  23,            0.031331,            0.022177,           0.0044132,             0.78246,              0.8729,             0.86638,             0.56213,            0.024428,             0.01051,           0.0013068,            0.005644,            0.005644,            0.005644
                  24,            0.031124,             0.02202,           0.0046198,             0.84894,              0.8698,             0.89866,             0.58593,            0.023738,           0.0098771,           0.0012465,            0.005446,            0.005446,            0.005446
                  25,            0.030351,            0.021542,           0.0039479,             0.79695,             0.87478,              0.8786,             0.58456,            0.024682,            0.010126,           0.0013474,            0.005248,            0.005248,            0.005248
                  26,             0.03024,            0.020831,           0.0034696,             0.86779,             0.84192,             0.89998,             0.59013,            0.024398,             0.01006,           0.0012414,             0.00505,             0.00505,             0.00505
                  27,            0.028766,            0.021064,           0.0035742,             0.77191,             0.86496,             0.87201,             0.58684,            0.023157,           0.0098323,           0.0012805,            0.004852,            0.004852,            0.004852
                  28,            0.028614,              0.0203,           0.0032492,             0.86273,             0.84517,             0.88946,             0.60291,            0.023526,           0.0096253,           0.0011263,            0.004654,            0.004654,            0.004654
                  29,            0.028591,            0.020235,            0.002887,             0.87703,             0.84305,              0.8981,             0.61065,            0.022978,           0.0098004,           0.0012187,            0.004456,            0.004456,            0.004456
                  30,            0.028216,             0.02047,           0.0030825,             0.86804,             0.87366,             0.91267,             0.61475,            0.022967,            0.009743,           0.0010029,            0.004258,            0.004258,            0.004258
                  31,            0.027829,            0.020268,           0.0031594,              0.9046,             0.85554,               0.921,             0.61724,            0.022669,           0.0097243,          0.00095588,             0.00406,             0.00406,             0.00406
                  32,            0.028059,            0.019932,           0.0034516,             0.90159,              0.8556,             0.92286,             0.63124,            0.023212,           0.0097804,           0.0009611,            0.003862,            0.003862,            0.003862
                  33,            0.027094,            0.019471,            0.003198,             0.85163,             0.89316,             0.92208,             0.63865,            0.022252,           0.0094476,          0.00094554,            0.003664,            0.003664,            0.003664
                  34,            0.027178,            0.019005,           0.0036276,             0.88664,             0.90576,             0.92164,             0.63857,            0.022202,           0.0093533,           0.0010242,            0.003466,            0.003466,            0.003466
                  35,              0.0267,            0.019959,           0.0022906,             0.86483,             0.89134,             0.92063,             0.63302,            0.022023,            0.009477,           0.0010803,            0.003268,            0.003268,            0.003268
                  36,            0.026177,            0.019944,           0.0029151,             0.87386,             0.89475,             0.91654,             0.64618,            0.021691,           0.0096053,          0.00085374,             0.00307,             0.00307,             0.00307
                  37,            0.026203,            0.019184,           0.0034331,             0.86579,             0.89761,             0.92125,              0.6324,              0.0219,           0.0093548,          0.00085442,            0.002872,            0.002872,            0.002872
